,Customer Name,Date,Ratings,Review Title,Reviews
60,PARMEET SINGH ARORA,31 January 2021,5.0 out of 5 stars,Excellent service,"Excellent service, did had few hic ups initially but there service is supperb and I'm quite impressed with the time lines and support."
61,NATURE TREASURE ( YOUTUBE CHANNEL),31 October 2020,4.0 out of 5 stars,Worth buying,Very nice product..easy to use..it make great cakes.. worth the price..I highly recommend this.
62,NAVDHA MITTAL,26 August 2020,4.0 out of 5 stars,Smart and Useful for oil free cooking,"Beautiful look with smart design. Easy to use. Useful for healthy cooking. Though it is a Spain product but Like other Most of the air fryers ,it is also made in china . Please start production in India."
63,Ajay,20 February 2021,5.0 out of 5 stars,Very Useful,"Excellent product, value for money"
64,J,26 October 2020,4.0 out of 5 stars,Fryer review,Thanks Inalsa for helping us with this new Air Fryer to help us live a more healthier lifestyle by reducing the oil content from our daily food.. Product seems to be quite good with simple to use operations.
65,Luthra,22 March 2021,5.0 out of 5 stars,Excellent product.,Easy to use and best.
66,Amazon Customer Sandeep ,18 January 2021,5.0 out of 5 stars,Great product and an Amazing price.,Really enjoyed using it and enjoyed more eating what I cooked.  Really happy. Wish I had ordered it earlier. Just go through the instructions and you will realise that it is so simple to use.
67,MS,16 August 2020,5.0 out of 5 stars,Does its work efficiently..,I am happy with my purchase. Excellent product in this price range. Thanks Inalsa..
68,Kaveri chandra,14 September 2020,1.0 out of 5 stars,Damage product,"I am very disappointed this product is fully damage end to small size , ISO packaging is  damage , waste of money"
69,Amazon Customer,29 January 2021,5.0 out of 5 stars,Good size for family of 3 to 4 people,"Good product ,easy to use , air-dried paneer tikka, french fries ,vegetables ,satisfied with performance"
70,SHINE,11 November 2020,5.0 out of 5 stars,A boon for health conscious people,it is an awesome product. I love the dishes that come out of it .it's very crispy. much better than i expected. MY FAMILY CAN EAT HEALTHY FRIED FOOD !
71,Manish Kapoor,16 August 2020,1.0 out of 5 stars,Poor product and service by Amazon,Very badly handled by Amazon delivery. No warranty card. No bill. Seems that product is used. I decided to return immediately. Friends buy from local shop . Its better
72,KRISHNAKUMAR G,5 April 2021,5.0 out of 5 stars,Good and kitchen worthy.,"The product was superb. We made French fries, carrot sticks and Cauliflower fries. It was very good.Very easy to use. The bell was the highlight since it reminds us."
73,Dhaya,14 March 2021,4.0 out of 5 stars,Value for money air fryer,Value for money product. Easy to use with presets available in this product.
74,HR,3 August 2020,1.0 out of 5 stars,No heat no cooking,"Excitement lost AirFryer is not heating at all as required... Not even 10* heat wasted time, energy, money need replacement and assistance... If this company Product is not worth need money back."
75,SOURABH,1 November 2020,1.0 out of 5 stars,Bad,Very bad infact we r not cook cake in this
76,Hasib alam,12 August 2020,5.0 out of 5 stars,BUY BUY...,Worked perfectly well...liked it...hope so it will wrk fine in the future too...worth purchase 🧡
77,HIMANSHU,11 November 2020,1.0 out of 5 stars,Damaged product,"The product delivered is faulty, heating element turns on off frequently....useless. raised a replacement request but don't see any activity there.can someone take a look at it"
78,Zahoor A.,6 September 2020,1.0 out of 5 stars,I want to return,It is very small from my expectation I want to return it but the return window is closed .amazon plzzzz let me return this I didn't wanted this from u
79,Utkarsh Morarka,11 December 2020,5.0 out of 5 stars,Toaster Replacement,"Good and easy to use as a toaster substitute, especially in India where there are different types, shapes, & sizes of breads."
80,Amazon Customer,17 September 2020,2.0 out of 5 stars,Parts missing,Many parts are missing which comes with this device. Please contact.
81,Neha,28 December 2020,5.0 out of 5 stars,Must give,Make men in house cook. Teach them . One two three. .lol.. and wait for some creativity or mess in kitchen.
82,Amazon Customer,18 February 2021,4.0 out of 5 stars,Must have in your kitchen for all food lovers,"Looks stylish and good size. The basket is very good size. Perfect addition to your kitchen for healthy snacks at home. Make paneer tikka, chaap tikka or non- veg at home."
83,Susmitha,6 August 2020,4.0 out of 5 stars,Very nice product,"Easy to use, bakes even cakes well. But ideal for frying."
84,Dhruv,26 October 2020,5.0 out of 5 stars,Inalsa air fryer,Great product for health conscious people who wanted to have taste in food nd want to have good food. Received today and used today. Easy to use and very sturdy and strong product.
85,Preetham,16 September 2020,1.0 out of 5 stars,W,Such a waste product never seen don’t waste ur valuable time nd money  literally to cook pizza taking more than a hour
86,jyoti shah,11 November 2020,3.0 out of 5 stars,You could make the product better by making a change to the release lever.,The product is OK.It has a difficult handle and one tends to forget not to press the release lever while handling the hot food.
87,Pallabi,16 January 2021,5.0 out of 5 stars,Good product in reasonable price 👌,"Looks wise it is very good, capacity is also great,easy to use, easy to clean..Made some French fries which turned out to be very tasty let's see what happens in long term use."
88,Yash,9 August 2020,5.0 out of 5 stars,Excellent product.,"Quick delivery by Amazon. Got it at a great price. Excellent product, very easy to use. The box also contains a very thorough instruction manual and a cook book. Provides a wonderful cooking experience."
89,Pulo,28 October 2019,1.0 out of 5 stars,Not working,I want exchange product is not working
90,Amazon Customer,13 April 2021,1.0 out of 5 stars,Really Bad,Didn't return before 10th as till now the executive kept saying they would come for a demo but till now they haven't its really bad.Doesn't work at all
91,SANDEEP KUMAR PORWAL,13 January 2021,5.0 out of 5 stars,air fryer,good quality
92,Aruneel Kapoor,6 August 2020,5.0 out of 5 stars,Inalsa air fryer rocks,"Awesome product, stay healthy with cooking on this one.It's amazing product  at very decent price.I bought it at 4320 and trust me its totally worth it...loved this"
93,amit,9 August 2020,4.0 out of 5 stars,Awesome in budget,This seems to be very good air fryer within such budget range. Yesterday we prepared french fries it was just like a McDonald's. Really a very good airfire within such price Range
94,vivek ,5 September 2020,5.0 out of 5 stars,Excellent product. Value for money,"Product is very easy to use, easy to clean and food tastes perfect."
95,Deb,24 March 2021,5.0 out of 5 stars,value for money,"nice product with great value, tried few air less frying and quality is reallygood"
96,Nagpal A,6 December 2020,5.0 out of 5 stars,It’s easy to operate,It’s good as oil free products can be prepared
97,Amazon Customer,10 August 2020,3.0 out of 5 stars,Not satisfied,Release button got stuck inside on the fourth use itself . Handle quality is not satisfactory. Rest fryer works fine .
98,Raj,3 February 2021,4.0 out of 5 stars,Lead healthier life,Really happy to use this product to make french fries with very less oil
99,imran khan,17 August 2020,1.0 out of 5 stars,Damaged product received,The product received was damaged. The temperature control button was broken & not working.Returned the product. No replacement option was provided.
100,Nena,30 August 2020,5.0 out of 5 stars,Good,"Worth of money. Not that big but you can easily make pizzas, cakes and all.. Love this microwave. Very easy to use."
101,Malvika gupta,13 April 2021,4.0 out of 5 stars,Good buy!,Easy to use. Although very small portions cook at once while making fries. Happy with the product otherwise ☺️
102,Sudhansu Mohan Gaur,29 October 2020,5.0 out of 5 stars,easy to use,easy to use
103,Amazon Customer,24 March 2019,5.0 out of 5 stars,Great,Nice
104,aateek singh,24 March 2021,1.0 out of 5 stars,Untested product delivered,I got the product today and when we started to pre heat it's giving voice a big short circuit. Tried again and same result. How can I replace the item ?
105,Ghulam Sarwar,29 October 2020,5.0 out of 5 stars,It is a good product,It is very good and useful product. It quality is very good.
106,ishan mahajan,10 June 2020,4.0 out of 5 stars,Best airfryer,Got the air-fryer at a good price and it is very easy to use. Non veg and veg snacks lover it is a must buy to have a hygienic oil free food
107,Murali Krishna Badaballa,4 October 2020,5.0 out of 5 stars,Good Product,Good Product
108,Lulu,11 November 2020,4.0 out of 5 stars,Compact and easy to use,"A wonderful small oven that has multiple uses - baking, roasting, etc. Happy with it."
109,eshita gaur,13 February 2021,5.0 out of 5 stars,Great product,The product is easy to use .. user manual gives u ease of use you also get recipe book..various modesThankyou inalsa
110,Sam,11 March 2021,5.0 out of 5 stars,Excellent product,Very good product...... It's very easy to use and clean..... I highly recommend it
111,G S.,30 August 2019,1.0 out of 5 stars,Inalsa not reliable,Return window closed. Stopped working after using 3 times in two months of purchase. What will be my fate
112,Deepali,12 April 2021,5.0 out of 5 stars,Value for money,Its a good product and value for money
113,Bhupendra sharma,10 January 2021,1.0 out of 5 stars,Was not Working properly,Was not working properly
114,SC,14 February 2021,5.0 out of 5 stars,Good buy,Nice product. Easy to use. Very sturdy.
115,Navya,31 March 2021,4.0 out of 5 stars,"Product is good, Customer care service is bad.",The product is nice and easy to use. But the customer care service at Inalsa was terrible. It took them 14 days to send a technician home.
